pais,emoji,blanco,negro,rojo,amarillo,verde,azul
LS,🇱🇸,1,,,,1,1
LT,🇱🇹,,,1,1,1,
LU,🇱🇺,1,,1,,,1
LV,🇱🇻,1,,1,,,
LY,🇱🇾,,1,1,,1,
MA,🇲🇦,,,1,,1,
MC,🇲🇨,1,,1,,,
MD,🇲🇩,,,1,1,,1
MF,🇲🇫,1,,1,,,1
MG,🇲🇬,1,,,1,1,
MG,🇲🇬,1,,1,,1,
MH,🇲🇭,1,,,,,1
MK,🇲🇰,,,1,1,,
ML,🇲🇱,,,1,1,1,
MM,🇲🇲,1,,,1,1,
MM,🇲🇲,1,,1,,1,
MM,🇲🇲,,,1,1,1,
MN,🇲🇳,,,1,,,1
MO,🇲🇴,1,,,,1,
MP,🇲🇵,1,,,,,1
MQ,🇲🇶,1,,,,,1
MR,🇲🇷,,,1,,1,
MR,🇲🇷,,,,1,1,
MR,🇲🇷,,,1,1,1,
MS,🇲🇸,,,1,,,1
MT,🇲🇹,1,,1,,,
MU,🇲🇺,,,1,,1,1
MU,🇲🇺,,,1,1,,1
MV,🇲🇻,,,1,,1,
MW,🇲🇼,,1,1,,1,
MX,🇲🇽,1,,1,,1,
MY,🇲🇾,1,,1,,,1
MZ,🇲🇿,,,1,1,,1
MZ,🇲🇿,,1,1,1,,
,🇳🇦,,,1,,1,1
NC,🇳🇨,,,1,1,,1
NC,🇳🇨,,,1,,1,1
NE,🇳🇪,1,,1,,1,
NF,🇳🇫,1,,,,1,
NG,🇳🇬,1,,,,1,
NI,🇳🇮,1,,,,,1
NL,🇳🇱,1,,1,,,1
NO,🇳🇴,,,1,,,1
NO,🇳🇴,1,,1,,,1
NP,🇳🇵,1,,1,,,
NP,🇳🇵,1,,1,,,1
NR,🇳🇷,,,,1,,1
NU,🇳🇺,,,1,1,,1
NU,🇳🇺,1,,,1,,
NU,🇳🇺,,,,1,,1
NZ,🇳🇿,,,1,,,1
OM,🇴🇲,1,,1,,1,
PA,🇵🇦,1,,1,,,1
PE,🇵🇪,1,,1,,,
PF,🇵🇫,1,,1,,,
PG,🇵🇬,,1,1,,,
PH,🇵🇭,1,,1,,,1
PK,🇵🇰,1,,,,1,
PL,🇵🇱,1,,1,,,
PM,🇵🇲,1,,,1,,1
PN,🇵🇳,,,1,,,1
PR,🇵🇷,1,,1,,,1
PS,🇵🇸,1,,1,,1,
PS,🇵🇸,1,1,,,1,
PS,🇵🇸,1,1,1,,,
PT,🇵🇹,,,1,,1,
PW,🇵🇼,,,,1,,1
PY,🇵🇾,1,,1,,,1
QA,🇶🇦,1,,1,,,
RE,🇷🇪,,,1,,,1
RE,🇷🇪,,,1,1,,1
RO,🇷🇴,,,1,1,,1
RU,🇷🇺,1,,1,,,1
RW,🇷🇼,,,,1,1,1
SA,🇸🇦,1,,,,1,
SB,🇸🇧,,,,1,1,1
SC,🇸🇨,,,1,1,,1
SC,🇸🇨,1,,1,1,,
SD,🇸🇩,1,1,,,1,
SD,🇸🇩,1,1,1,,,
SE,🇸🇪,,,,1,,1
SG,🇸🇬,1,,1,,,
SH,🇸🇭,1,,,,,1
SI,🇸🇮,1,,1,,,1
SJ,🇸🇯,1,,1,,,1
SJ,🇸🇯,1,,1,,,
SJ,🇸🇯,,,1,,,1
SK,🇸🇰,1,,1,,,1
SL,🇸🇱,1,,,,1,1
SM,🇸🇲,1,,,,,1
SN,🇸🇳,,,1,1,1,
SO,🇸🇴,1,,,,,1
SR,🇸🇷,1,,1,,1,
SS,🇸🇸,,1,1,,,1
SS,🇸🇸,,1,1,,1,
ST,🇸🇹,,,1,1,1,
SV,🇸🇻,1,,,,,1
SX,🇸🇽,1,,1,,,1
SY,🇸🇾,1,1,1,,,
SZ,🇸🇿,1,,1,,,1
SZ,🇸🇿,,1,1,,,1
TC,🇹🇨,,,,1,,1
TD,🇹🇩,,,1,1,,1
TG,🇹🇬,,,1,1,1,
TH,🇹🇭,1,,1,,,1
TJ,🇹🇯,1,,1,,1,
TK,🇹🇰,,,,1,,1
TL,🇹🇱,,1,1,,,
TL,🇹🇱,,,1,1,,
TL,🇹🇱,,1,1,1,,
TM,🇹🇲,,,1,,1,
TM,🇹🇲,1,,1,,1,
TN,🇹🇳,1,,1,,,
TO,🇹🇴,1,,1,,,
TR,🇹🇷,1,,1,,,
TT,🇹🇹,,1,1,1,,
TT,🇹🇹,,1,1,,,
TV,🇹🇻,,,1,,,1
TZ,🇹🇿,,1,,,1,1
UA,🇺🇦,,,,1,,1
UG,🇺🇬,,1,1,1,,
UM,🇺🇲,1,,1,,,1
UN,🇺🇳,1,,,,,1
US,🇺🇸,1,,1,,,1
UY,🇺🇾,1,,,1,,1
UY,🇺🇾,1,,,,,1
VA,🇻🇦,1,,,1,,
VC,🇻🇨,,,,1,1,1
VE,🇻🇪,,,1,1,,1
VG,🇻🇬,1,,1,,,1
VI,🇻🇮,1,,,1,,
VN,🇻🇳,,,1,1,,
VU,🇻🇺,,,1,1,1,
VU,🇻🇺,,1,1,,1,
WF,🇼🇫,,,1,,,1
WS,🇼🇸,,,1,,,1
XK,🇽🇰,,,,1,,1
YE,🇾🇪,1,1,1,,,
YT,🇾🇹,1,,,,,
ZA,🇿🇦,,1,1,1,,
ZA,🇿🇦,,1,1,,1,
ZA,🇿🇦,1,,1,,,1
ZA,🇿🇦,,1,,1,1,
ZA,🇿🇦,,,1,,1,1
ZM,🇿🇲,,1,,1,1,
ZM,🇿🇲,,1,1,,1,
ZW,🇿🇼,,1,,1,1,
ZW,🇿🇼,,1,1,,1,
ZW,🇿🇼,,1,,1,1,
ZW,🇿🇼,,1,1,1,,
